골프장,일일체류비,그린피,카트비,캐디피,숙소,조식,중식,석식,식사,캐디팁,보험비,라커룸,송영,,
미션힐스,"540,000",1,1,1,1,1,0,0,1,0,1,1,0,,8
남산,"585,600",1,1,1,1,1,0,0,1,1,0,0,0,,7
남산IMG,"653,600",1,1,1,1,1,0,0,1,1,0,0,0,,7
그린랜드,"434,520",1,1,0,1,1,0,0,1,0,0,0,0,,5
퍼시픽블루,"468,600",1,1,0,1,1,0,1,2,0,0,0,1,,8
닐라이 스프링스,"276,000",1,1,0,1,1,1,1,3,0,0,0,0,,9
레이테,"208,000",1,1,1,1,1,1,1,3,1,0,0,0,,11
치링,"399,200",1,1,1,1,1,0,0,1,1,0,0,0,,7
옌중,"417,000",1,1,1,0,0,0,0,1,1,0,0,0,,5
빈펄,"540,000",1,1,1,1,1,0,0,0,1,0,0,1,,7
이븐데일,"470,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
현대더링스,"460,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
오너스,"640,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
샤인빌,"400,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
타미우스,"930,000",1,1,1,1,0,0,0,0,0,0,0,0,,4
용인,"410,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
그린필드,"346,000",1,1,1,0,0,0,0,0,0,0,0,0,,3
스프링데일,"638,000",1,1,1,1,1,0,0,1,0,0,0,0,,6
