회원권번호,국가,골프장이름,상품명,기간,입회금,이용홀수,회원적용,비고
CB-01,중국,백작36,가족,마감,28000000,36,부부+18세이하 자녀,
CB-02,중국,백작36,법인,,50000000,36,,
CC-01,중국,청도18,법인,마감,45000000,18,기명1+무기명1,
CC-02,중국,청도18,개인,,19800000,18,,
CC-03,중국,청도18,가족,,24800000,18,,
CD-01,중국,다이아몬드,가족,마감,46700000,234,부부+18세이하 자녀,청도18홀 제외
CG1-01,중국,공작18(IMG),가족,,17000000,18,,
CG3-01,중국,공작36,가족,,28200000,36,부부+18세이하 자녀,"남산 IMG, 남산 범화 2개 코스"
CG3-02,중국,공작36,1+1,,30500000,36,,
CG3-03,중국,공작36,개인,,23520000,36,,
CH-03,중국,미션힐스,KM SILVER,10년,12000000,180,기명2,
CM-01,중국,미션힐스,KM DIAMOND,10년,36000000,180,기명2+무기명6,
CM-02,중국,미션힐스,KM GOLD,10년,24000000,180,기명1+무기명3,
CML-01,중국,몽고메리로얄,가족,마감,21000000,180,부부+18세이하 자녀,"마산재18홀, 공작36홀 제외"
CMS-02,중국,마산재18,1+1,,38500000,18,,
CMS-03,중국,마산재18,가족,,38500000,18,,
CMS-04,중국,마산재18,개인,,23000000,18,,
CMSL-01,중국,마산재로얄,가족,마감,71600000,162,부부+18세이하 자녀,"몽고18, 송도18, 공작36홀 제외"
CN-01,중국,남산,특전,,0,,,
CN10-01,중국,남산108,지정,,3850000,108,,
CN13-01,중국,남산135,가족,마감,6800000,135,,
CN13-02,중국,남산135,기타,마감,9800000,135,,
CN27-01,중국,남산279,가족,,69500000,279,,
CN7-01,중국,남산72,VIP,평생,12000000,72,무기명4,
CN9-01,중국,남산90,가족,마감,8800000,90,기명1+무기명1,"송도, 범화, 남산국제, 해경, 해헌 5개 코스"
CSN10-01,중국,신남산108,지정,,3850000,108,,
CSN13-01,중국,신남산135,가족,,6800000,135,,
CSN13-02,중국,신남산135,법인,,13000000,135,,
CSN38-01,중국,신남산380,개인,,3800000,380,,
JG-01,일본,그린랜드,VIP,평생,8800000,72,기명1+무기명3,
JG-02,일본,그린랜드,가족,,6600000,,,
JG-03,일본,그린랜드,법인,,8800000,,,
JP-01,일본,퍼시픽블루,VVIP,평생,16500000,18,기명2+무기명6,
JP-02,일본,퍼시픽블루,VIP,평생,11000000,18,기명1+무기명3,
JP-03,일본,퍼시픽블루,GOLD,평생,7700000,18,기명1+무기명1,
KCEN-01,대한민국+중국,이븐데일+남산90,개인,,29700000,,,
KCHN-01,대한민국+중국,현대더링스+남산90,개인,마감,19800000,,기1+무기명3,
KCON-01,대한민국+중국,오너스+남산90,,,29700000,,,
KCSN-01,대한민국+중국,샤인빌+남산,GOLD,마감,9900000,,기명1+무기명3,
KCSN-02,대한민국+중국,샤인빌+남산,DIAMOND (VIP),마감,19800000,,기명1+무기명4,
KCTN-01,대한민국+중국,타미우스+남산,실버,마감,9900000,,기명1+무기명3,
KCTN-02,대한민국+중국,타미우스+남산,골드,마감,27500000,,기명1+무기명3,
KCYN-01,대한민국+중국,용인+남산90,법인,마감,27500000,,무기명4,
KD-01,대한민국,대명,,,4740000,,,
KH-01,대한민국,현대더링스,VVIP,,15400000,,,
KH-02,대한민국,현대더링스,개인,,9900000,,,
KJ-01,대한민국,제피로스,VVIP,,19800000,,,
KJ-02,대한민국,제피로스,개인,,9900000,,,
KJOG-01,대한민국+일본,오너스+그린랜드,개인,,8800000,,,
KJOG-02,대한민국+일본,오너스+그린랜드,법인,,39600000,,,
KO-01,대한민국,오너스,골드,,25300000,,,
KS-01,대한민국,스프링데일,4스타,,19800000,,,
KS-02,대한민국,스프링데일,로얄,,9900000,,,
KS-03,대한민국,스프링데일,플래티넘,,13200000,,,
KY-01,대한민국,용인,법인,,16500000,,,
MN-01,말레이시아,닐라이 스프링스,VIP,평생,10000000,27,기명2,부부회원
PL-01,필리핀,레이테,VVIP,평생,15000000,18,기명1+무기명3,
PL-02,필리핀,레이테,VIP,평생,9000000,18,기명1+무기명3,
PL-03,필리핀,레이테,GOLD,평생,6000000,18,기명1+무기명1,
TG-01,태국,가싼쿤탄,VIP,10년,10000000,27,기명2+준회원2,
VC-01,베트남,치링,4-STAR,평생,18000000,27,무기명4,
VC-02,베트남,치링,T-STAR,평생,13000000,27,기명1+무기명3,
VCY-01,베트남,치링+옌중,4-STAR+,평생,29000000,63,무기명4,
VCY-02,베트남,치링+옌중,T-STAR+,평생,20000000,63,기명1+무기명3,
VV-01,베트남,빈펄,VIP,20년,36000000,90,무기명4,"남호이안, 푸꾸옥, 하이퐁, 나트랑 4곳 모두 이용"
VV-02,베트남,빈펄,GOLD,20년,19200000,90,기명1+무기명3,"남호이안, 푸꾸옥, 하이퐁, 나트랑 4곳 모두 이용"
VV-03,베트남,빈펄,SILVER,20년,14400000,90,기명1+무기명3,"남호이안, 푸꾸옥, 하이퐁 중 1곳만 이용"
VV-04,베트남,빈펄,VIP 법인,,36000000,,,
VY-01,베트남,옌중,VIP,평생,14000000,36,무기명4,
VY-02,베트남,옌중,GOLD,평생,9000000,36,기명1+무기명3,
